,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2566P,,,,,,,,,,,,,,จำนวนนักท่องเที่ยว ปี 2565P,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,2023p,,,,,,,,,,,,,Country of,2022p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar R,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
Belgiun,"7,678","8,361","6,569","5,614","4,539","3,988","10,581","5,868","5,346","7,393","9,761","9,814","85,512",Belgiun,"1,236","1,359","1,711","2,363","2,011","2,582","7,370","4,490","4,240","5,821","7,046","6,792","47,021",Belgiun,+521.20,+515.23,+283.93,+137.58,+125.71,+54.45,+43.57,+30.69,+26.08,27.01 ,38.53 ,44.49 ,81.86 
France,"59,925","75,188","50,019","40,724","28,999","22,773","42,237","42,118","23,190","40,577","55,828","63,425","545,003",France,"6,666","12,140","12,250","13,711","12,375","12,278","27,644","29,600","17,346","30,951","39,727","45,535","260,223",France,+798.96,+519.34,+308.32,+197.02,+134.34,+85.48,+52.79,+42.29,+33.69,31.10 ,40.53 ,39.29 ,109.44 
Germany,"73,045","80,284","81,511","55,029","41,418","28,042","38,117","44,257","40,494","58,174","87,850","100,942","729,163",Germany,"11,323","13,310","16,804","19,380","15,074","18,481","25,976","32,735","31,272","44,489","60,719","67,326","356,889",Germany,+545.10,+503.19,+385.07,+183.95,+174.76,+51.73,+46.74,+35.20,+29.49,30.76 ,44.68 ,49.93 ,104.31 
Luxembourg,348,433,414,484,224,190,300,549,220,248,544,634,"4,588",Luxembourg,35,71,109,202,94,120,265,444,173,229,365,460,"2,567",Luxembourg,+894.29,+509.86,+279.82,+139.60,+138.30,+58.33,+13.21,+23.65,+27.17,8.30 ,49.04 ,37.83 ,78.73 
Netherlands,"21,012","17,740","15,776","16,538","13,134","11,255","35,508","21,414","13,820","16,748","22,716","23,878","229,539",Netherlands,"2,305","2,239","3,024","5,229","4,864","5,433","21,267","13,118","9,626","12,575","16,437","17,449","113,566",Netherlands,+811.58,+692.32,+421.69,+216.27,+170.02,+107.16,+66.96,+63.24,+43.57,33.18 ,38.20 ,36.84 ,102.12 
Switzerland,"16,839","16,862","13,660","14,676","7,345","5,789","14,164","6,031","7,525","12,363","17,419","23,664","156,337",Switzerland,"2,489","2,699","2,784","4,649","3,100","3,317","8,850","4,737","5,639","9,509","13,105","17,629","78,507",Switzerland,+576.54,+524.75,+390.66,+215.68,+136.94,+74.53,+60.05,+27.32,+33.45,30.01 ,32.92 ,34.23 ,99.14 
Central/Eastern Europe,"284,937","263,908","241,667","146,807","80,486","70,178","85,156","86,267","90,602","144,333","255,113","301,431","2,050,885",Central/Eastern Europe,"36,860","31,638","20,795","13,306","14,067","16,443","15,878","19,138","28,027","65,486","153,000","235,148","649,786",Central/Eastern Europe,+673.02,+734.15,"+1,062.14","+1,003.31",+472.16,+326.80,+436.31,+350.76,+223.27,120.40 ,66.74 ,28.19 ,215.62 
Belarus,"1,311","1,231","1,063",608,290,269,264,262,334,678,"1,221","1,531","9,062",Belarus,308,256,158,85,85,105,76,76,131,296,623,843,"3,042",Belarus,+325.65,+380.86,+572.78,+615.29,+241.18,+156.19,+247.37,+244.74,+154.96,129.05 ,95.99 ,81.61 ,197.90 
Bulgaria,"1,915","1,906","1,302",988,437,325,266,296,398,617,"1,798","2,461","12,709",Bulgaria,397,310,229,193,140,137,116,207,245,418,656,"1,688","4,736",Bulgaria,+382.37,+514.84,+468.56,+411.92,+212.14,+137.23,+129.31,+43.00,+62.45,47.61 ,174.09 ,45.79 ,168.35 
Czech Republic,"7,034","7,929","6,180","2,710","1,475","1,454","1,940","1,290","1,479","2,535","6,754","8,160","48,940",Czech Republic,665,889,889,657,579,792,"1,298","1,236","1,271","1,773","3,623","4,205","17,877",Czech Republic,+957.74,+791.90,+595.16,+312.48,+154.75,+83.59,+49.46,+4.37,+16.37,42.98 ,86.42 ,94.05 ,173.76 
Estonia,"2,784","2,863","1,644",499,380,235,222,246,380,734,"2,063","2,850","14,900",Estonia,"1,178","1,479",822,263,152,147,105,125,247,467,"1,294","2,148","8,427",Estonia,+136.33,+93.58,+100.00,+89.73,+150.00,+59.86,+111.43,+96.80,+53.85,57.17 ,59.43 ,32.68 ,76.81 
Hungary,"4,530","4,106","3,129","1,616",851,"1,033",830,778,946,"1,380","3,238","5,469","27,906",Hungary,661,429,405,428,432,529,486,543,669,"1,140","1,977","2,775","10,474",Hungary,+585.33,+857.11,+672.59,+277.57,+96.99,+95.27,+70.78,+43.28,+41.41,21.05 ,63.78 ,97.08 ,166.43 
Kazakhstan,"26,656","23,019","21,328","9,230","6,927","6,408","6,662","6,403","5,956","10,837","21,842","27,221","172,489",Kazakhstan,"3,482","4,339","4,331","1,498","1,693","1,798","1,733","1,663","2,169","5,884","12,750","18,128","59,468",Kazakhstan,+665.54,+430.51,+392.45,+516.15,+309.16,+256.40,+284.42,+285.03,+174.60,84.18 ,71.31 ,50.16 ,190.05 
Kyrgyzstan,907,560,460,231,138,106,141,95,190,219,522,"1,157","4,726",Kyrgyzstan,46,48,38,37,34,55,63,48,46,122,248,523,"1,308",Kyrgyzstan,"+1,871.74","+1,066.67","+1,110.53",+524.32,+305.88,+92.73,+123.81,+97.92,+313.04,79.51 ,110.48 ,121.22 ,261.31 
Latvia,"1,413","1,180","1,048",483,344,245,209,254,400,644,"1,385","1,532","9,137",Latvia,310,428,362,267,133,120,127,161,207,464,"1,041","1,138","4,758",Latvia,+355.81,+175.70,+189.50,+80.90,+158.65,+104.17,+64.57,+57.76,+93.24,38.79 ,33.05 ,34.62 ,92.03 
Lithuania,"2,658","3,022","2,109","1,050",770,578,522,444,685,"1,426","2,397","3,014","18,675",Lithuania,768,798,730,464,362,364,279,337,469,941,"1,791","1,972","9,275",Lithuania,+246.09,+278.70,+188.90,+126.29,+112.71,+58.79,+87.10,+31.75,+46.06,51.54 ,33.84 ,52.84 ,101.35 
Poland," 16,129 "," 16,347 "," 12,648 "," 5,799 "," 4,469 "," 3,498 "," 3,595 "," 3,950 "," 5,152 "," 8,289 "," 21,995 "," 19,829 "," 121,700 ",Poland," 1,364 "," 1,522 "," 1,768 "," 1,941 "," 1,691 "," 2,304 "," 2,530 "," 3,200 "," 4,160 "," 5,938 "," 12,658 "," 10,393 "," 49,469 ",Poland,"+1,082.48",+974.05,+615.38,+198.76,+164.28,+51.82,+42.09,+23.44,+23.85,39.59 ,73.76 ,90.79 ,146.01 
Romania," 4,592 "," 4,739 "," 3,505 "," 2,256 "," 1,388 "," 1,104 "," 1,001 "," 1,238 "," 1,477 "," 2,945 "," 4,538 "," 7,367 "," 36,150 ",Romania, 646 , 609 , 617 , 961 , 443 , 463 , 455 , 596 , 687 ," 1,873 "," 3,037 "," 3,794 "," 14,181 ",Romania,+610.84,+678.16,+468.07,+134.76,+213.32,+138.44,+120.00,+107.72,+114.99,57.23 ,49.42 ,94.18 ,154.92 
Russian Federation," 202,759 "," 186,103 "," 177,805 "," 115,706 "," 58,467 "," 50,734 "," 64,937 "," 66,602 "," 68,660 "," 107,511 "," 177,517 "," 205,810 "," 1,482,611 ",Russian Federation," 23,669 "," 17,979 "," 9,132 "," 5,139 "," 7,006 "," 8,072 "," 6,705 "," 8,679 "," 15,182 "," 42,796 "," 106,676 "," 178,324 "," 429,359 ",Russian Federation,+756.64,+935.11,"+1,847.05","+2,151.53",+734.53,+528.52,+868.49,+667.39,+352.25,151.22 ,66.41 ,15.41 ,245.31 
Slovakia," 2,657 "," 3,212 "," 2,626 "," 1,624 ", 957 , 771 , 828 , 627 , 794 ," 1,174 "," 2,549 "," 3,484 "," 21,303 ",Slovakia, 412 , 500 , 523 , 605 , 327 , 373 , 629 , 548 , 672 , 845 ," 1,761 "," 2,249 "," 9,444 ",Slovakia,+544.90,+542.40,+402.10,+168.43,+192.66,+106.70,+31.64,+14.42,+18.15,38.93 ,44.75 ,54.91 ,125.57 
Ukraine," 4,652 "," 3,881 "," 3,505 "," 2,411 "," 2,133 "," 1,901 "," 2,024 "," 1,945 "," 2,031 "," 2,610 "," 3,673 "," 5,660 "," 36,426 ",Ukraine," 2,292 "," 1,877 ", 631 , 706 , 772 , 838 , 783 ," 1,131 "," 1,359 "," 1,892 "," 3,027 "," 3,997 "," 19,305 ",Ukraine,+102.97,+106.77,+455.47,+241.50,+176.30,+126.85,+158.49,+71.97,+49.45,37.95 ,21.34 ,41.61 ,88.69 
