,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนนักท่องเที่ยว ปี 2567P,,,,,,,,,,,,,,,,,,,,,,,,,,,%การเปลี่ยนแปลง,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"17,959,432",,,,,,,,,,,,,,
Country of,2024p,,,,,,,,,,,,,2023p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec)
Serbia," 1,908 "," 1,447 "," 1,020 ", 648 , 346 , 229 , 330 , 285 , 331 , 514 ," 1,128 "," 1,541 "," 9,727 "," 1,324 "," 1,083 ", 761 , 452 , 189 , 192 , 318 , 282 , 330 , 309 , 772 ," 1,243 "," 7,255 ",Serbia,+44.11,+33.61,+34.03,+43.36,+83.07,+19.27,+3.77,+1.06,+0.30,+66.34,+46.11,+23.97,+34.07
Slovenia," 1,512 "," 1,957 ", 942 , 816 , 354 , 544 , 787 , 420 , 467 ," 1,213 "," 1,304 "," 1,810 "," 12,126 "," 1,240 "," 1,236 ", 792 , 764 , 336 , 385 , 618 , 381 , 570 , 998 ," 1,006 "," 1,502 "," 9,828 ",Slovenia,+21.94,+58.33,+18.94,+6.81,+5.36,+41.30,+27.35,+10.24,-18.07,+21.54,+29.62,+20.51,+23.38
Spain," 12,817 "," 11,694 "," 14,107 "," 8,923 "," 9,189 "," 13,927 "," 24,558 "," 33,982 "," 17,328 "," 19,326 "," 25,178 "," 16,681 "," 207,710 "," 8,488 "," 8,182 "," 8,525 "," 7,620 "," 7,015 "," 9,917 "," 16,428 "," 24,643 "," 14,110 "," 15,691 "," 19,174 "," 13,665 "," 153,458 ",Spain,+51.00,+42.92,+65.48,+17.10,+30.99,+40.44,+49.49,+37.90,+22.81,+23.17,+31.31,+22.07,+35.35
Turkey," 11,501 "," 9,879 "," 6,496 "," 10,586 "," 5,805 "," 7,525 "," 6,320 "," 6,613 "," 6,818 "," 7,853 "," 12,720 "," 11,576 "," 103,692 "," 6,750 "," 5,470 "," 5,309 "," 4,428 "," 3,891 "," 5,455 "," 4,390 "," 4,179 "," 5,063 "," 5,945 "," 8,813 "," 9,415 "," 69,108 ",Turkey,+70.39,+80.60,+22.36,+139.07,+49.19,+37.95,+43.96,+58.24,+34.66,+32.09,+44.33,+22.95,+50.04
Other in Europe," 2,725 "," 2,309 "," 2,266 "," 1,357 "," 1,119 ", 899 ," 1,068 "," 1,227 "," 1,306 "," 1,649 "," 3,286 "," 4,121 "," 23,332 "," 1,574 "," 1,479 "," 1,495 ", 990 , 635 , 667 , 655 , 798 , 734 , 957 ," 1,656 "," 2,563 "," 14,203 ",Other in Europe,+73.13,+56.12,+51.57,+37.07,+76.22,+34.78,+63.05,+53.76,+77.93,+72.31,+98.43,+60.79,+64.28
America," 146,288 "," 138,484 "," 135,962 "," 108,172 "," 97,076 "," 107,002 "," 105,775 "," 84,697 "," 82,427 "," 117,937 "," 176,700 "," 176,558 "," 1,477,078 "," 118,891 "," 117,838 "," 120,596 "," 100,424 "," 85,529 "," 94,143 "," 96,758 "," 74,573 "," 73,781 "," 97,572 "," 147,089 "," 160,267 "," 1,287,461 ",America,+23.04,+17.52,+12.74,+7.72,+13.50,+13.66,+9.32,+13.58,+11.72,+20.87,+20.13,+10.16,+14.73
Canada," 31,004 "," 29,786 "," 25,546 "," 19,048 "," 15,907 "," 12,921 "," 13,771 "," 12,396 "," 12,142 "," 19,187 "," 29,718 "," 29,910 "," 251,336 "," 23,744 "," 23,740 "," 22,786 "," 16,579 "," 13,969 "," 11,035 "," 13,023 "," 11,251 "," 10,700 "," 16,248 "," 23,831 "," 27,358 "," 214,264 ",Canada,+30.58,+25.47,+12.11,+14.89,+13.87,+17.09,+5.74,+10.18,+13.48,+18.09,+24.70,+9.33,+17.30
Mexico," 2,660 "," 2,710 "," 4,382 "," 2,820 "," 3,260 "," 2,744 "," 3,301 "," 2,572 "," 4,001 "," 5,166 "," 6,373 "," 3,824 "," 43,813 "," 1,616 "," 1,968 "," 2,671 "," 2,753 "," 2,235 "," 1,801 "," 2,224 "," 1,865 "," 3,183 "," 3,367 "," 5,158 "," 3,354 "," 32,195 ",Mexico,+64.60,+37.70,+64.06,+2.43,+45.86,+52.36,+48.43,+37.91,+25.70,+53.43,+23.56,+14.01,+36.09
The United States of America," 97,046 "," 91,483 "," 91,719 "," 75,204 "," 68,257 "," 83,542 "," 81,334 "," 61,700 "," 56,819 "," 80,999 "," 118,423 "," 124,207 "," 1,030,733 "," 82,470 "," 81,946 "," 84,101 "," 72,139 "," 62,058 "," 75,623 "," 75,914 "," 55,960 "," 52,895 "," 68,563 "," 103,726 "," 114,811 "," 930,206 ",The United States of America,+17.67,+11.64,+9.06,+4.25,+9.99,+10.47,+7.14,+10.26,+7.42,+18.14,+14.17,+8.18,+10.81
Argentina," 3,940 "," 3,003 "," 2,403 "," 1,743 "," 1,344 "," 1,204 "," 1,006 ", 922 ," 1,171 "," 1,703 "," 2,510 "," 2,525 "," 23,474 "," 2,889 "," 2,248 "," 2,023 "," 1,513 "," 1,121 ", 876 , 791 , 759 , 955 ," 1,378 "," 1,894 "," 2,335 "," 18,782 ",Argentina,+36.38,+33.59,+18.78,+15.20,+19.89,+37.44,+27.18,+21.48,+22.62,+23.58,+32.52,+8.14,+24.98
Brazil," 6,853 "," 6,002 "," 6,267 "," 4,725 "," 3,615 "," 3,061 "," 2,661 "," 2,739 "," 2,999 "," 4,404 "," 10,840 "," 9,077 "," 63,243 "," 5,186 "," 4,405 "," 5,048 "," 3,644 "," 2,966 "," 2,282 "," 2,197 "," 2,221 "," 2,800 "," 3,815 "," 7,393 "," 8,048 "," 50,005 ",Brazil,+32.14,+36.25,+24.15,+29.67,+21.88,+34.14,+21.12,+23.32,+7.11,+15.44,+46.63,+12.79,+26.47
Chile," 1,885 "," 2,540 "," 1,707 "," 1,594 "," 1,252 ", 975 , 909 , 889 ," 1,141 "," 1,253 "," 1,839 "," 1,194 "," 17,178 "," 1,253 "," 1,654 "," 1,250 ", 984 , 910 , 843 , 763 , 739 , 948 ," 1,418 "," 1,493 "," 1,328 "," 13,583 ",Chile,+50.44,+53.57,+36.56,+61.99,+37.58,+15.66,+19.13,+20.30,+20.36,-11.64,+23.17,-10.09,+26.47
Colombia, 941 , 881 ," 1,285 ", 906 , 909 , 975 , 883 ," 1,297 "," 1,776 "," 2,031 "," 2,661 "," 2,470 "," 17,015 ", 470 , 499 , 750 , 689 , 602 , 540 , 511 , 494 , 818 , 982 ," 1,320 "," 1,142 "," 8,817 ",Colombia,+100.21,+76.55,+71.33,+31.49,+51.00,+80.56,+72.80,+162.55,+117.11,+106.82,+101.59,+116.29,+92.98
Peru, 663 , 745 , 728 , 669 , 677 , 495 , 531 , 541 , 632 , 753 ," 1,049 ", 861 ," 8,344 ", 458 , 435 , 509 , 515 , 504 , 413 , 486 , 438 , 563 , 673 , 819 , 584 ," 6,397 ",Peru,+44.76,+71.26,+43.03,+29.90,+34.33,+19.85,+9.26,+23.52,+12.26,+11.89,+28.08,+47.43,+30.44
Uruguay, 243 , 196 , 539 , 197 , 555 , 93 , 245 , 125 , 98 , 202 , 349 , 225 ," 3,067 ", 137 , 304 , 593 , 815 , 456 , 71 , 61 , 48 , 59 , 156 , 177 , 187 ," 3,064 ",Uruguay,+77.37,-35.53,-9.11,-75.83,+21.71,+30.99,+301.64,+160.42,+66.10,+29.49,+97.18,+20.32,+0.10
  Other in America," 1,053 "," 1,138 "," 1,386 "," 1,266 "," 1,300 ", 992 ," 1,134 "," 1,516 "," 1,648 "," 2,239 "," 2,938 "," 2,265 "," 18,875 ", 668 , 639 , 865 , 793 , 708 , 659 , 788 , 798 , 860 , 972 ," 1,278 "," 1,120 "," 10,148 ",  Other in America,+57.63,+78.09,+60.23,+59.65,+83.62,+50.53,+43.91,+89.97,+91.63,+130.35,+129.89,+102.23,+86.00
Middle East," 44,223 "," 35,346 "," 8,455 "," 45,071 "," 44,106 "," 97,083 "," 137,816 "," 105,097 "," 60,381 "," 53,937 "," 56,991 "," 53,703 "," 742,209 "," 30,556 "," 26,948 "," 19,574 "," 26,190 "," 42,384 "," 67,329 "," 111,855 "," 87,012 "," 50,436 "," 44,644 "," 45,710 "," 47,861 "," 600,499 ",Middle East,+44.73,+31.16,-56.80,+72.09,+4.06,+44.19,+23.21,+20.78,+19.72,+20.82,+24.68,+12.21,+23.60
Bahrain," 1,724 "," 1,280 ", 442 ," 1,842 "," 1,825 "," 4,803 "," 5,674 "," 5,523 "," 2,618 "," 3,106 "," 2,206 "," 2,476 "," 33,519 "," 1,339 "," 1,019 ", 638 ," 1,160 "," 1,966 "," 3,468 "," 3,661 "," 4,278 "," 2,080 "," 2,474 "," 1,870 "," 2,118 "," 26,071 ",Bahrain,+28.75,+25.61,-30.72,+58.79,-7.17,+38.49,+54.98,+29.10,+25.87,+25.55,+17.97,+16.90,+28.57
Egypt," 1,204 "," 1,181 ", 459 ," 1,551 "," 1,244 "," 1,926 "," 1,364 "," 1,258 "," 1,290 "," 1,716 "," 1,603 "," 1,994 "," 16,790 ", 904 ," 1,238 ", 829 , 826 ," 1,163 "," 1,382 "," 1,138 "," 1,341 "," 1,332 "," 1,624 "," 1,411 "," 1,742 "," 14,930 ",Egypt,+33.19,-4.60,-44.63,+87.77,+6.96,+39.36,+19.86,-6.19,-3.15,+5.67,+13.61,+14.47,+12.46
Iraq, 391 , 504 , 193 , 434 , 420 , 481 , 382 , 589 , 453 , 390 , 721 , 679 ," 5,637 ", 329 , 311 , 287 , 222 , 258 , 226 , 294 , 405 , 289 , 354 , 382 , 603 ," 3,960 ",Iraq,+18.84,+62.06,-32.75,+95.50,+62.79,+112.83,+29.93,+45.43,+56.75,+10.17,+88.74,+12.60,+42.35
Jordan, 732 , 882 , 283 ," 1,122 ", 972 ," 1,810 "," 1,889 "," 2,013 "," 2,223 "," 2,352 "," 1,991 "," 2,163 "," 18,432 ", 665 , 663 , 586 , 653 , 804 ," 1,183 "," 1,373 "," 1,158 "," 1,124 "," 1,027 ", 764 ," 1,023 "," 11,023 ",Jordan,+10.08,+33.03,-51.71,+71.82,+20.90,+53.00,+37.58,+73.83,+97.78,+129.02,+160.60,+111.44,+67.21
